Report Number,Supplemental Number,Accident Year,Accident Date/Time,Operator ID,Operator Name,Pipeline/Facility Name,Pipeline Location,Pipeline Type,Liquid Type,Liquid Subtype,Liquid Name,Accident City,Accident County,Accident State,Accident Latitude,Accident Longitude,Cause Category,Cause Subcategory,Unintentional Release (Barrels),Intentional Release (Barrels),Liquid Recovery (Barrels),Net Loss (Barrels),Liquid Ignition,Liquid Explosion,Pipeline Shutdown,Shutdown Date/Time,Restart Date/Time,Public Evacuations,Operator Employee Injuries,Operator Contractor Injuries,Emergency Responder Injuries,Other Injuries,Public Injuries,All Injuries,Operator Employee Fatalities,Operator Contractor Fatalities,Emergency Responder Fatalities,Other Fatalities,Public Fatalities,All Fatalities,Property Damage Costs,Lost Commodity Costs,Public/Private Property Damage Costs,Emergency Response Costs,Environmental Remediation Costs,Other Costs,All Costs
20140137,19554,2014,3/14/2014 1:13 PM,18718,SUNOCO PIPELINE L.P.,CORSICANA STATION,ONSHORE,ABOVEGROUND,CRUDE OIL,,,CORSICANA,NAVARRO,TX,"32,072,932","-96,467,214",MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0.75,,0.48,0.27,NO,NO,NO,,,,,,,,,,,,,,,,100,50,0,2800,0,0,2950
20140141,19244,2014,3/15/2014 9:09 AM,12105,"MAGELLAN AMMONIA PIPELINE, L.P.",ENID LATERAL NH3 ,ONSHORE,ABOVEGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",ANHYDROUS AMMONIA,,PRETTY PRAIRIE,RENO,KS,"378,681","-9,802,141",MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,2,0.05,0,2,NO,NO,YES,3/15/2014 9:09,3/17/2014 12:53,,,,,,,,,,,,,,119000,175,1500,1500,0,0,122175
20140098,19163,2014,3/15/2014 6:30 PM,31045,"GENESIS PIPELINE USA, L.P.",SOSO STATION,ONSHORE,ABOVEGROUND,CRUDE OIL,,,SOSO,JONES,MS,"31,788,398","-89,332,383",MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0.5,,0.5,0,NO,NO,YES,3/15/2014 18:30,3/15/2014 23:59,,,,,,,,,,,,,,100,55,0,2500,200,0,2855
20140122,19276,2014,3/16/2014 2:00 PM,26065,NATIONAL COOP REFINERY ASSCO,NCRA REFINERY,ONSHORE,TANK,CRUDE OIL,,,MCPHERSON,MCPHERSON,KS,"38,339,275","-97,676,786",MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,2,,0,2,NO,NO,NO,,,,,,,,,,,,,,,,0,200,0,0,300,0,500
20140139,20081,2014,3/16/2014 2:20 PM,22830,WOLVERINE PIPELINE CO,W. WALKER ROAD VALVE SITE,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL",,ST. JOHNS,CLINTON,MI,"43,016,283","-846,554",MATERIAL/WELD/EQUIP FAILURE,DEFECTIVE OR LOOSE TUBING/FITTING,64,,55,9,NO,NO,YES,3/16/2014 16:10,3/19/2014 11:00,0,,,,,,,,,,,,,200,8004,0,15000,58582,0,81786
20140121,20132,2014,3/16/2014 5:20 PM,31684,PHILLIPS 66 PIPELINE LLC,HARPER LINE,ONSHORE,UNDERGROUND,CRUDE OIL,,,ODESSA,ECTOR,TX,"3,178,542","-10,255,676",CORROSION,EXTERNAL,1.55,,1.55,0,NO,NO,YES,3/16/2014 17:20,,0,,,,,,,,,,,,,2300,150,0,0,2500,0,4950
20140126,19378,2014,3/17/2014 5:00 PM,31684,PHILLIPS 66 PIPELINE LLC,THUMS LINE,ONSHORE,UNDERGROUND,CRUDE OIL,,,WILMINGTON,LOS ANGELES,CA,"33,787,864","-118,269,456",CORROSION,INTERNAL,39,,39,0,NO,NO,NO,,,0,,,,,,,,,,,,,25000,900,30000,300000,45000,0,400900
20140152,20129,2014,3/17/2014 8:19 PM,12470,MID - VALLEY PIPELINE CO,"MAYERSVILLE TO LIMA 20""",ONSHORE,UNDERGROUND,CRUDE OIL,,,COLERAIN TOWNSHIP,HAMILTON,OH,"39,252,793","-84,685,909",MATERIAL/WELD/EQUIP FAILURE,ENVIRONMENTAL CRACKING-RELATED,450,,442,8,NO,NO,YES,3/17/2014 22:34,3/23/2014 16:53,0,,,,,,,,,,,,,88252,770,2292685,2706148,2087084,0,7174939
20140147,19259,2014,3/18/2014 2:00 PM,15674,PLANTATION PIPE LINE CO,OXFORD TERMINAL,ONSHORE,UNDERGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",MIXTURE OF REFINED PRODUCTS (TRANSMIX OR OTHER MIXTURE),,OXFORD,CALHOUN,AL,"33,616,375","-85,778,931",MATERIAL/WELD/EQUIP FAILURE,THREADED CONNECTION/COUPLING FAILURE,0.24,,0.24,0,NO,NO,NO,,,0,,,,,,,,,,,,,0,28,0,6500,0,0,6528
20140150,19658,2014,3/18/2014 3:50 PM,300,"PLAINS PIPELINE, L.P.",WICHITA FALLS STATION,ONSHORE,ABOVEGROUND,CRUDE OIL,,,WICHITA FALLS,WICHITA FALLS COUNTY,TX,"3,391,486","-9,843,757",MATERIAL/WELD/EQUIP FAILURE,OTHER EQUIPMENT FAILURE,4,,4,0,NO,NO,NO,,,0,,,,,,,,,,,,,2000,400,0,500,500,0,3400
20140149,19828,2014,3/19/2014 11:23 AM,32450,"ROADRUNNER PIPELINE, L.L.C.",ROADRUNNER PIPELINE LOVINGTON RECEIVING ,ONSHORE,ABOVEGROUND,CRUDE OIL,,,LOVINGTON,LEA,NM,"32,874,236","-1,033,011,341",ALL OTHER CAUSES,MISCELLANEOUS,2.5,,1,1.5,NO,NO,NO,,,0,,,,,,,,,,,,,0,600,0,800,1000,0,2400
20140153,19466,2014,3/19/2014 1:15 PM,22610,"MAGELLAN PIPELINE COMPANY, LP",COTTONWOOD STATION #180,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",GASOLINE (NON-ETHANOL),,VAN HORN,CULBERTSON,TX,"3,150,897","-10,435,466",INCORRECT OPERATION,INCORRECT VALVE POSITION,0.5,,0.47,0.03,NO,NO,NO,,,0,,,,,,,,,,,,,0,56,0,2000,500,0,2556
20140156,19284,2014,3/19/2014 4:40 PM,32632,"JP ENERGY MARKETING, LLC",JP ENERGY /RED RIVER PIPELINE,ONSHORE,TANK,CRUDE OIL,,,LONE GROVE,CARTER,OK,"34,216,537","-9,728,714",MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,35,,34.5,0.5,NO,NO,NO,,,0,,,,,,,,,,,,,0,150,0,0,4718,0,4868
20140144,20544,2014,3/20/2014 5:00 AM,32619,"HILAND CRUDE, LLC",CAMP CREEK PUMP STATION,ONSHORE,ABOVEGROUND,CRUDE OIL,,,"ALEXANDER, ND",MCKENZIE,ND,"47,921,839","-103,563,575",MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,475,,375,100,NO,NO,YES,3/20/2014 5:00,3/20/2014 17:30,0,,,,,,,,,,,,,500,10000,628675,331720,475461,0,1446356
20140151,19991,2014,3/21/2014 3:15 PM,15774,NORTH DAKOTA PIPELINE COMPANY LLC,MAXBASS STATION,ONSHORE,UNDERGROUND,CRUDE OIL,,,MAXBASS,BOTTINEAU,ND,"48,720,364","-10,120,851",CORROSION,INTERNAL,200,,200,0,NO,NO,YES,3/21/2014 15:20,3/23/2014 4:47,0,,,,,,,,,,,,,350238,20000,0,284638,720000,4875,1379751
20140148,20128,2014,3/21/2014 4:11 PM,32099,ENERGY TRANSFER COMPANY,WEST TEXAS NGL,ONSHORE,UNDERGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",LPG (LIQUEFIED PETROLEUM GAS) / NGL (NATURAL GAS LIQUID),,SNYDER,SCURRY,TX,"3,261,263","-1,010,593",MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,3992,0,0,3992,NO,NO,YES,3/21/2014 16:23,3/22/2014 19:34,1,,,,,,,,,,,,,35000,167664,0,1500,0,0,204164
20140155,21155,2014,3/21/2014 10:25 PM,15674,PLANTATION PIPE LINE CO,14 CNF,ONSHORE,UNDERGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",MIXTURE OF REFINED PRODUCTS (TRANSMIX OR OTHER MIXTURE),,VILLA RICA,CARROLL,GA,"337,161,833","-849,190,558",MATERIAL/WELD/EQUIP FAILURE,MANUFACTURING-RELATED,41,,16.2,24.8,NO,NO,NO,,,0,,,,,,,,,,,,,55000,5000,0,131500,329500,0,521000
20140146,19472,2014,3/21/2014 10:30 PM,22855,"KOCH PIPELINE COMPANY, L.P.","TP-2 CORPUS CHRISTI TO GONZALEZ 18""",ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL",,CORPUS CHRISTI,NUECES,TX,"2,783,668","-9,752,718",MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0.44,,0.44,0,NO,NO,YES,3/21/2014 22:38,3/22/2014 3:40,0,,,,,,,,,,,,,0,132,0,8518,0,0,8650
20140154,19635,2014,3/22/2014 7:07 PM,12470,MID - VALLEY PIPELINE CO,DENVER STATION,ONSHORE,TANK,CRUDE OIL,,,NEW JOHNSVILLE,HUMPHREYS,TN,"3,603,385","-8,794,387",CORROSION,INTERNAL,2,,2,0,NO,NO,YES,3/22/2014 19:07,3/23/2014 23:54,0,,,,,,,,,,,,,10000,0,0,10000,5000,0,25000
20140163,19479,2014,3/24/2014 3:15 AM,32551,"BKEP PIPELINE, LLC",LONGVIEW STATION,ONSHORE,ABOVEGROUND,CRUDE OIL,,,LONGVIEW,GREGG,TX,"3,247,599","-9,471,869",MATERIAL/WELD/EQUIP FAILURE,THREADED CONNECTION/COUPLING FAILURE,650,,590,60,NO,NO,NO,,,0,,,,,,,,,,,,,350,6000,0,65000,45000,0,116350
20140158,19305,2014,3/25/2014 1:22 PM,15674,PLANTATION PIPE LINE CO,COLLINS TANK FARM,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",GASOLINE (NON-ETHANOL),,COLLINS,COVINGTON,MS,"31,636,831","-89,523,521",INCORRECT OPERATION,OVERFILL/OVERFLOW OF TANK/VESSEL/SUMP,17.85,,17.85,0,NO,NO,NO,,,0,,,,,,,,,,,,,0,140,0,18000,0,0,18140
20140165,19878,2014,3/26/2014 5:18 AM,11169,"ENBRIDGE ENERGY, LIMITED PARTNERSHIP",6/AM,ONSHORE,ABOVEGROUND,CRUDE OIL,,,GRAND MARSH,ADAMS,WI,"4,394,972","-8,968,472",MATERIAL/WELD/EQUIP FAILURE,OTHER EQUIPMENT FAILURE,7,,7,0,NO,NO,NO,,,0,,,,,,,,,,,,,10000,800,0,36000,19000,0,65800
20140162,19311,2014,3/26/2014 11:39 AM,31618,ENTERPRISE PRODUCTS OPERATING LLC,LA JUNTA STATION,ONSHORE,ABOVEGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",OTHER HVL,Y-GRADE,LA JUNTA,OTERO,CO,"37,972,548","-103,484,322",MATERIAL/WELD/EQUIP FAILURE,OTHER EQUIPMENT FAILURE,0.08,,0,0.08,NO,NO,NO,,,0,,,,,,,,,,,,,52500,3,0,0,0,0,52503
20140160,19724,2014,3/27/2014 9:15 AM,18718,SUNOCO PIPELINE L.P.,CORSICANA STATION,ONSHORE,ABOVEGROUND,CRUDE OIL,,,CORSICANA,NAVARRO,TX,"3,207,175","-9,647,357",MATERIAL/WELD/EQUIP FAILURE,DEFECTIVE OR LOOSE TUBING/FITTING,1,,1,0,NO,NO,NO,,,0,,,,,,,,,,,,,0,0,0,2000,0,0,2000
20140164,19443,2014,3/28/2014 12:00 PM,18718,SUNOCO PIPELINE L.P.,"553016 -ALEX-THOMASON 3""",ONSHORE,ABOVEGROUND,CRUDE OIL,,,ALEX,GRADY,OK,"3,487,656","-9,779,842",INCORRECT OPERATION,INCORRECT INSTALLATION,4,,3.9,0.1,NO,NO,NO,,,0,,,,,,,,,,,,,100,393,0,0,1000,0,1493
20140166,19322,2014,3/28/2014 6:00 PM,32678,KINDER MORGAN CRUDE AND CONDENSATE LLC,KINDER MORGAN CRUDE CONDENSATE - EDNA STATION,ONSHORE,ABOVEGROUND,CRUDE OIL,,,EDNA,JACKSON,TX,"2,891,382","-96,628,799",MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,4.5,,4.5,0,NO,NO,NO,,,,,,,,,,,,,,,,100,428,0,0,45151,0,45679
20140167,21090,2014,3/29/2014 2:50 PM,22430,WEST SHORE PIPELINE CO,DES PLAINES STATION,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL",,ARLINGTON HEIGHTS,COOK,IL,"42,024,045","-87,951,209",MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,1,,1,0,NO,NO,NO,,,0,,,,,,,,,,,,,6755,0,0,7125,384,523,14787
20140168,19966,2014,3/30/2014 1:45 PM,30829,ENTERPRISE CRUDE PIPELINE LLC,TEXAS CITY TANK FARM,ONSHORE,UNDERGROUND,CRUDE OIL,,,TEXAS CITY,GALVESTON,TX,"2,934,525","-94,935,183",CORROSION,INTERNAL,20,,20,0,NO,NO,NO,,,0,,,,,,,,,,,,,50000,2000,0,10000,6000,0,68000
20140143,19526,2014,3/31/2014 5:00 AM,31618,ENTERPRISE PRODUCTS OPERATING LLC,NORTH PORT ARTHUR TERMINAL,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL",,PORT ARTHUR,JEFFERSON,TX,"2,991,156","-9,400,983",MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,0.24,,0.24,0,NO,NO,YES,3/31/2014 5:15,3/31/2014 10:00,0,,,,,,,,,,,,,10000,45,0,5000,10000,0,25045
20140161,19527,2014,3/31/2014 1:00 PM,31618,ENTERPRISE PRODUCTS OPERATING LLC,BAYTOWN TO BEAUMONT # 1,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",GASOLINE (NON-ETHANOL),,FANNETT,JEFFERSON,TX,"29,935","-942,833,333",MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,0.71,,0.71,0,NO,NO,YES,1/4/2014 14:10,1/4/2014 19:46,0,,,,,,,,,,,,,205120,100,0,7405,182705,0,395330
20140145,19251,2014,1/4/2014 7:30,31684,PHILLIPS 66 PIPELINE LLC,WICHITA FALLS TERMINAL,ONSHORE,ABOVEGROUND,CRUDE OIL,,,WICHITA FALLS,WICHITA,TX,"33,936,574","-98,496,891",MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,1.12,,1.12,0,NO,NO,NO,,,0,,,,,,,,,,,,,500,100,0,3000,3000,0,6600
20140170,20308,2014,1/4/2014 8:20,12105,"MAGELLAN AMMONIA PIPELINE, L.P.",SOUTH LEG NH3 LINE MP 178 TO CONWAY,ONSHORE,UNDERGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",ANHYDROUS AMMONIA,,CONWAY,MCPHERSON,KS,"3,834,044","-9,783,677",MATERIAL/WELD/EQUIP FAILURE,MANUFACTURING-RELATED,31.42,0,0,31.42,NO,NO,NO,,,0,,,,,,,,,,,,,30000,1344,2000,1000,65682,0,100026
20140171,20194,2014,1/4/2014 13:30,2190,CENTRAL FLORIDA PIPELINE CORP,ORLANDO TERMINAL,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL",,ORLANDO,ORANGE,FL,"28,422,635","-81,369,965",INCORRECT OPERATION,INCORRECT VALVE POSITION,0.23,,0.23,0,NO,NO,NO,,,0,,,,,,,,,,,,,0,15,0,100,0,0,115
20140175,21013,2014,2/4/2014 16:00,31476,ROSE ROCK MIDSTREAM L.P.,"KS-OK 4""",ONSHORE,UNDERGROUND,CRUDE OIL,,,BLACKWELL,KAY,OK,"3,677,616","-9,724,686",INCORRECT OPERATION,PIPELINE/EQUIPMENT OVERPRESSURED,160,,155,5,NO,NO,YES,2/4/2014 16:00,3/4/2014 17:00,0,,,,,,,,,,,,,15000,500,0,17000,0,0,32500
20140174,19725,2014,2/4/2014 16:30,18718,SUNOCO PIPELINE L.P.,ZEPHYR STATION,ONSHORE,ABOVEGROUND,CRUDE OIL,,,ZEPHYR,BROWN,TX,"316,256","-988,071",MATERIAL/WELD/EQUIP FAILURE,OTHER EQUIPMENT FAILURE,3,,0,3,NO,NO,YES,2/4/2014 16:30,2/4/2014 23:12,0,,,,,,,,,,,,,0,288,0,5000,2000,0,7288
20140157,19286,2014,3/4/2014 7:30,31684,PHILLIPS 66 PIPELINE LLC,BL-02,ONSHORE,ABOVEGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",OTHER HVL,BUTANE,CAHOKIA,ST. CLAIR,IL,"38,581,933","-90,188,644",MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,0.19,0,0,0.19,NO,NO,NO,,,,,,,,,,,,,,,,5000,33,0,500,0,0,5533
20140176,19683,2014,3/4/2014 10:00,1845,"BUCKEYE PARTNERS, LP",GENEVA TERMINAL,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL",,FAYETTE,SENECA,NY,"42,870,358","-7,693,538",NATURAL FORCE DAMAGE,TEMPERATURE,0.48,,0.36,0.12,NO,NO,NO,,,,,,,,,,,,,,,,250,0,0,10000,14000,0,24250
20140173,19380,2014,4/4/2014 17:00,12470,MID - VALLEY PIPELINE CO,DENVER STATION,ONSHORE,TANK,CRUDE OIL,,,NEW JOHNSVILLE,HUMPHREYS,TN,"3,603,385","-8,794,387",MATERIAL/WELD/EQUIP FAILURE,OTHER EQUIPMENT FAILURE,1,,1,0,NO,NO,NO,,,0,,,,,,,,,,,,,1000,98,0,10200,9500,0,20798
20140169,19331,2014,5/4/2014 7:00,1960,BUTTE PIPELINE CO,,ONSHORE,ABOVEGROUND,CRUDE OIL,,,,,WY,"45,152,093","-104,714,812",MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,2,,1,1,NO,NO,,,,,,,,,,,,,,,,,500,100,0,0,500,0,1100
20140177,20359,2014,5/4/2014 10:00,30782,HARVEST PIPELINE COMPANY,BLACK BAY OIL ,ONSHORE,UNDERGROUND,CRUDE OIL,,,,PLAQUEMINES PARISH,LA,"29,466,936","-89,514,842",ALL OTHER CAUSES,MISCELLANEOUS,2,,0,2,NO,NO,NO,,,0,,,,,,,,,,,,,600000,200,0,0,0,0,600200
20140179,19367,2014,8/4/2014 7:15,2552,COLONIAL PIPELINE CO,BENGAL/BATON ROUGE,ONSHORE,UNDERGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",GASOLINE (NON-ETHANOL),,JACKSON,EAST FELICIANA,LA,"3,071,133","-9,127,589",MATERIAL/WELD/EQUIP FAILURE,DEFECTIVE OR LOOSE TUBING/FITTING,0.79,,0.79,0,NO,NO,YES,10/4/2014 13:00,10/4/2014 13:30,,,,,,,,,,,,,,5,85,0,24000,0,0,24090
20140178,20164,2014,8/4/2014 9:45,22855,"KOCH PIPELINE COMPANY, L.P.",HUGO PUMP STATION,ONSHORE,UNDERGROUND,CRUDE OIL,,,HUGO,WASHINGTON,MN,"45,143,056","-92,999,245",INCORRECT OPERATION,OTHER INCORRECT OPERATION,0.6,,0.58,0.02,NO,NO,NO,,,0,,,,,,,,,,,,,0,92,1273261,53773,0,0,1327126
20140197,20217,2014,8/4/2014 10:25,15156,SINCLAIR TRANSPORTATION COMPANY,MID CONTINENT PIPELINE,ONSHORE,UNDERGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",MIXTURE OF REFINED PRODUCTS (TRANSMIX OR OTHER MIXTURE),,GORIN,SCOTLAND,MO,"4,036,474","-9,201,656",CORROSION,EXTERNAL,80,,0,80,NO,NO,YES,8/4/2014 10:31,10/4/2014 7:23,0,,,,,,,,,,,,,1000,10080,210395,1589,0,0,223064
20140180,19360,2014,8/4/2014 11:44,22610,"MAGELLAN PIPELINE COMPANY, LP","WATHENA JCT. TO DES MOINES #7-16"" LINE",ONSHORE,UNDERGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL",,INDIANOLA,WARREN,IA,"4,141,579","-9,362,086",INCORRECT OPERATION,OTHER INCORRECT OPERATION,1.07,,1.07,0,NO,NO,NO,,,,,,,,,,,,,,,,1160,125,0,18000,0,500,19785
20140172,19337,2014,8/4/2014 18:00,2552,COLONIAL PIPELINE CO,MITCHELL JUNCTION,ONSHORE,UNDERGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL",,COLUMBIA,CUMBERLAND,VA,"3,766,399","-78,239,171",CORROSION,EXTERNAL,0.48,,0.48,0,NO,NO,NO,,,,,,,,,,,,,,,,25,76,0,18000,0,0,18101
20140181,19368,2014,9/4/2014 7:30,300,"PLAINS PIPELINE, L.P.",NORTH SPRABERRY JUNCTION,ONSHORE,ABOVEGROUND,CRUDE OIL,,,,MIDLAND,TX,"3,207,254","-101,856,855",INCORRECT OPERATION,INCORRECT VALVE POSITION,49,,49,0,NO,NO,YES,9/4/2014 7:35,9/4/2014 12:20,0,,,,,,,,,,,,,0,400,0,48000,0,0,48400
20140183,20008,2014,11/4/2014 8:45,30829,ENTERPRISE CRUDE PIPELINE LLC,WILDFIRE 1 GASSO PUMP,ONSHORE,ABOVEGROUND,CRUDE OIL,,,ODESSA,MIDLAND,TX,"31,718,902","-10,221,213",MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,4.5,,4.5,0,NO,NO,YES,11/4/2014 18:15,4/14/2014 0:00,0,,,,,,,,,,,,,1500,400,0,1000,500,0,3400
20140182,19372,2014,11/4/2014 14:00,39080,GLASS MOUNTAIN PIPELINE,GLASS MOUNTAIN CUSHING METER STATION,ONSHORE,ABOVEGROUND,CRUDE OIL,,,CUSHING,LINCOLN,OK,"3,593,784,934","-9,671,795,726",MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,0.35,,0,0.35,NO,NO,,,,0,,,,,,,,,,,,,0,0,0,897,0,0,897
20140186,19384,2014,4/14/2014 8:30 AM,10250,KIANTONE PIPELINE CORP,KIANTONE PIPELINE CORPORATION,ONSHORE,UNDERGROUND,CRUDE OIL,,,WARREN,WARREN,PA,"41,831,164","-79,117,514",CORROSION,EXTERNAL,2,,1.9,0.1,NO,NO,NO,,,0,,,,,,,,,,,,,122000,200,11000,98500,18300,0,250000
20140187,21839,2014,4/14/2014 3:24 PM,300,"PLAINS PIPELINE, L.P.",JAL BASIN STATION,ONSHORE,TANK,CRUDE OIL,,,JAL,LEA,NM,"32,080,668","-103,178,983",MATERIAL/WELD/EQUIP FAILURE,THREADED CONNECTION/COUPLING FAILURE,500,,500,0,NO,NO,YES,4/14/2014 15:25,4/14/2014 15:55,0,,,,,,,,,,,,,26500,11000,0,87531,40000,0,165031
20140191,20736,2014,4/15/2014 11:05 PM,31957,KINDER MORGAN WINK PIPELINE LP,"WINK TO EL PASO 20""",ONSHORE,UNDERGROUND,CRUDE OIL,,,ORLA,CULBERSON,TX,"3,185,330,114","-10,453,896,522",CORROSION,EXTERNAL,173,,0,173,NO,NO,YES,4/15/2014 23:05,4/16/2014 1:50,0,,,,,,,,,,,,,30000,15985,0,2000,200000,0,247985
20140192,19393,2014,4/16/2014 10:31 AM,300,"PLAINS PIPELINE, L.P.",CATARINA NORTH TERMINAL,ONSHORE,ABOVEGROUND,CRUDE OIL,,,,DIMMIT,TX,28.37,"-99,641",INCORRECT OPERATION,OVERFILL/OVERFLOW OF TANK/VESSEL/SUMP,1,,1,0,NO,NO,NO,,,0,,,,,,,,,,,,,500,100,0,3146,3146,3250,10142
20140184,21592,2014,4/16/2014 12:15 PM,1845,"BUCKEYE PARTNERS, LP",TOLEDO SUN JUNCTION TO SUN TERMINAL,ONSHORE,UNDERGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL",,OREGON,LUCAS,OH,"41,621,205","-83,485,937",MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,5,,2.74,2.26,NO,NO,YES,4/16/2014 8:00,4/22/2014 16:00,0,,,,,,,,,,,,,92064,611,0,38198,8650,9828,149351
20140190,19390,2014,4/16/2014 11:45 PM,11169,"ENBRIDGE ENERGY, LIMITED PARTNERSHIP",LINE 3/DR,ONSHORE,ABOVEGROUND,CRUDE OIL,,,DEER RIVER,ITASCA,MN,"4,732,556","-9,376,389",MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0.36,,0.36,0,NO,NO,YES,4/16/2014 23:45,4/17/2014 2:09,0,,,,,,,,,,,,,10508,40,0,8495,0,0,19043
20140193,20648,2014,4/17/2014 9:49 AM,31618,ENTERPRISE PRODUCTS OPERATING LLC,BEAUMONT TERMINAL,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",MIXTURE OF REFINED PRODUCTS (TRANSMIX OR OTHER MIXTURE),,BEAUMONT,JEFFERSON,TX,"30,010,811","-94,056,361",ALL OTHER CAUSES,MISCELLANEOUS,0.01,,0,0.01,YES,NO,NO,,,0,,,,,,,,,,,,,0,0,0,0,0,0,0
20140188,19582,2014,4/18/2014 2:07 PM,12470,MID - VALLEY PIPELINE CO,LONGVIEW STATION,ONSHORE,ABOVEGROUND,CRUDE OIL,,,LONGVIEW,GREGG,TX,"324,836","-948,305",MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,3,,2,1,NO,NO,YES,4/18/2014 14:07,4/18/2014 17:30,0,,,,,,,,,,,,,0,101,0,1400,3000,0,4501
20140195,20537,2014,4/22/2014 1:34 AM,31684,PHILLIPS 66 PIPELINE LLC,LAKE CHARLES PIPELINE FACILITY,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",GASOLINE (NON-ETHANOL),,SULPHUR,CALCASIEU,LA,"30,170,532","-93,339,358",MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0.9,,0.9,0,NO,NO,YES,4/22/2014 1:34,4/22/2014 2:00,0,,,,,,,,,,,,,1000,120,0,1000,0,0,2120
